sentenceID,isConcordant,sentenceType,isPlausible,sentenceContent,sentenceLoop.thisRepN,sentenceLoop.thisTrialN,sentenceLoop.thisN,sentenceLoop.thisIndex,instr.started,instr.stopped,confirm.keys,confirm.rt,confirm.started,confirm.stopped,isNative.started,isNative.stopped,isNativeResp.keys,isNativeResp.rt,isNativeResp.started,isNativeResp.stopped,hasReadProb.started,hasReadProb.stopped,hasReadProbResp.keys,hasReadProbResp.rt,hasReadProbResp.started,hasReadProbResp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,practice1Cross.started,practice1Cross.stopped,practice1Text.started,practice1Text.stopped,practice1Resp.keys,practice1Resp.rt,practice1Resp.started,practice1Resp.stopped,feedback1Text.started,feedback1Text.stopped,feedback1Blank.started,feedback1Blank.stopped,practice2Cross.started,practice2Cross.stopped,practice2Text.started,practice2Text.stopped,practice2Resp.keys,practice2Resp.rt,practice2Resp.started,practice2Resp.stopped,feedback2Text.started,feedback2Text.stopped,feedback2Blank.started,feedback2Blank.stopped,sentence.started,sentence.stopped,fixationCross.started,fixationCross.stopped,sentenceResp.keys,sentenceResp.rt,sentenceResp.started,sentenceResp.stopped,debriefText.started,debriefText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
46,False,transitive,False,The balloon burst the boy.,0,25,25,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.05392659991048,151.55605449993163,148.0594800999388,149.07040619989857,y,3.3735569999553263,149.05392659991048,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
34,False,transitive,False,Flowers grow his parents on their balcony.,0,26,26,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.4751671999693,155.97710520005785,152.47459400002845,153.4751671999693,n,3.040464299963787,153.4751671999693,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
22,True,intransitive,False,The street exploded in the bomb.,0,27,27,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.54580379999243,None,156.55710410000756,157.56247400003485,n,1.7938234999310225,157.54580379999243,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
10,True,transitive,False,The butter softened the heat.,0,28,28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.36520939995535,None,159.37275899993256,160.38193889986724,y,1.7984272001776844,160.36520939995535,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
7,True,transitive,True,The baker dissolved the sugar.,0,29,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.18479979992844,None,162.1897424000781,163.20138229988515,y,1.1142408999148756,163.18479979992844,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
31,True,intransitive,True,The soup boiled in the pot.,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.32017669989727,None,164.3251889999956,165.3367438998539,y,1.7712547001428902,165.32017669989727,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
26,True,intransitive,False,The wash shrank in the shirt.,0,31,31,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.1229510998819,None,167.12942119990475,168.13963650004007,n,1.2487506999168545,168.1229510998819,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
32,True,intransitive,False,The cook boiled in the pot.,0,32,32,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.39192970003933,None,169.39696029992774,170.4086237999145,n,1.4196109001059085,170.39192970003933,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
41,False,transitive,True,The hot water shrank the shirt.,0,33,33,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.82725699990988,None,171.83066209987737,172.8441826000344,y,1.4238532001618296,172.82725699990988,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
27,True,intransitive,True,The cake crumbled in my hands.,0,34,34,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.280310299946,None,174.28032119991258,175.280310299946,y,1.5151931999716908,175.280310299946,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
29,True,intransitive,True,The balloon burst behind the boy.,0,35,35,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.81610519997776,None,176.82235140004195,177.8327949999366,n,1.7070586001500487,177.81610519997776,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
14,True,transitive,False,The store shut the assistant.,0,36,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.5521917999722,None,179.5519159999676,180.5521917999722,n,1.5473587000742555,180.5521917999722,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
36,False,transitive,False,The boat sank the waves.,0,37,37,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.10461329994723,None,182.12712970003486,183.1378041000571,n,1.7387456998694688,183.10461329994723,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
28,True,intransitive,False,My hands crumbled in the cake.,0,38,38,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.8740351998713,None,184.88407199992798,185.89071599999443,n,2.105249699903652,185.8740351998713,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
51,False,intransitive,True,The pipe clogged after the rain.,0,39,39,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0104224998504,None,188.01147100003436,189.02722380007617,y,2.35289019998163,189.0104224998504,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
12,True,transitive,False,The soup heated the cook.,0,40,40,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.38033109996468,None,191.38558429991826,192.39704619999975,n,1.6070541001390666,192.38033109996468,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
18,True,intransitive,False,The clusters grew in the flowers.,0,41,41,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.01652750000358,None,194.0241551999934,195.03322109999135,n,2.147174600046128,195.01652750000358,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
40,False,transitive,False,The sand hardened the sun.,0,42,42,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1864698000718,None,197.19409379991703,198.20286379987374,n,2.2492177998647094,198.1864698000718,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
